Bellows Size Convolution,,,,
Size,NOC,NAMING,OALB,BL
,,,,
100,1,100-1,62,12
100,2,100-2,74,24
100,3,100-3,86,36
100,4,100-4,98,48
100,5,100-5,111,61
100,6,100-6,123,73
100,7,100-7,135,85
100,8,100-8,147,97
100,9,100-9,159,109
100,10,100-10,172,122
100,11,100-11,184,134
100,12,100-12,196,146
100,13,100-13,208,158
100,14,100-14,220,170
125,1,125-1,62,12
125,2,125-2,75,25
125,3,125-3,88,38
125,4,125-4,101,51
125,5,125-5,114,64
125,6,125-6,127,77
125,7,125-7,140,90
125,8,125-8,153,103
125,9,125-9,166,116
125,10,125-10,179,129
125,11,125-11,191,141
125,12,125-12,204,154
125,13,125-13,217,167
125,14,125-14,230,180
150,1,150-1,64,14
150,2,150-2,79,29
150,3,150-3,94,44
150,4,150-4,108,58
150,5,150-5,123,73
150,6,150-6,138,88
150,7,150-7,152,102
150,8,150-8,167,117
150,9,150-9,182,132
150,10,150-10,197,147
150,11,150-11,211,161
150,12,150-12,226,176
150,13,150-13,241,191
150,14,150-14,255,205
200,1,200-1,67,17
200,2,200-2,85,35
200,3,200-3,103,53
200,4,200-4,121,71
200,5,200-5,139,89
200,6,200-6,157,107
200,7,200-7,175,125
200,8,200-8,193,143
200,9,200-9,211,161
200,10,200-10,229,179
200,11,200-11,246,196
200,12,200-12,264,214
200,13,200-13,282,232
200,14,200-14,300,250
250,1,250-1,79,19
250,2,250-2,98,38
250,3,250-3,117,57
250,4,250-4,137,77
250,5,250-5,156,96
250,6,250-6,175,115
250,7,250-7,195,135
250,8,250-8,214,154
250,9,250-9,233,173
250,10,250-10,253,193
250,11,250-11,272,212
250,12,250-12,291,231
250,13,250-13,310,250
300,1,300-1,83,23
300,2,300-2,106,46
300,3,300-3,130,70
300,4,300-4,153,93
300,5,300-5,177,117
300,6,300-6,200,140
300,7,300-7,223,163
300,8,300-8,247,187
300,9,300-9,270,210
300,10,300-10,294,234
300,11,300-11,317,257
350,1,350-1,83,23
350,2,350-2,106,46
350,3,350-3,130,70
350,4,350-4,153,93
350,5,350-5,177,117
350,6,350-6,200,140
350,7,350-7,223,163
350,8,350-8,247,187
350,9,350-9,270,210
350,10,350-10,294,234
350,11,350-11,317,257
400,1,400-1,83,23
400,2,400-2,106,46
400,3,400-3,130,70
400,4,400-4,153,93
400,5,400-5,177,117
400,6,400-6,200,140
400,7,400-7,223,163
400,8,400-8,247,187
400,9,400-9,270,210
400,10,400-10,294,234
400,11,400-11,317,257
450,1,450-1,83,23
450,2,450-2,106,46
450,3,450-3,130,70
450,4,450-4,153,93
450,5,450-5,177,117
450,6,450-6,200,140
450,7,450-7,223,163
450,8,450-8,247,187
450,9,450-9,270,210
450,10,450-10,294,234
450,11,450-11,317,257
500,1,500-1,90,30
500,2,500-2,120,60
500,3,500-3,150,90
500,4,500-4,180,120
500,5,500-5,210,150
500,6,500-6,240,180
500,7,500-7,270,210
500,8,500-8,300,240
500,9,500-9,330,270
500,10,500-10,360,300
550,1,550-1,90,30
550,2,550-2,120,60
550,3,550-3,150,90
550,4,550-4,180,120
550,5,550-5,210,150
550,6,550-6,240,180
550,7,550-7,270,210
550,8,550-8,300,240
550,9,550-9,330,270
550,10,550-10,360,300
600,1,600-1,90,30
600,2,600-2,120,60
600,3,600-3,150,90
600,4,600-4,180,120
600,5,600-5,210,150
600,6,600-6,240,180
600,7,600-7,270,210
600,8,600-8,300,240
600,9,600-9,330,270
600,10,600-10,360,300
650,1,650-1,90,30
650,2,650-2,120,60
650,3,650-3,150,90
650,4,650-4,180,120
650,5,650-5,210,150
650,6,650-6,240,180
650,7,650-7,270,210
650,8,650-8,300,240
650,9,650-9,330,270
650,10,650-10,360,300
700,1,700-1,90,30
700,2,700-2,120,60
700,3,700-3,150,90
700,4,700-4,180,120
700,5,700-5,210,150
700,6,700-6,240,180
700,7,700-7,270,210
700,8,700-8,300,240
700,9,700-9,330,270
700,10,700-10,360,300
750,1,750-1,90,30
750,2,750-2,120,60
750,3,750-3,150,90
750,4,750-4,180,120
750,5,750-5,210,150
750,6,750-6,240,180
750,7,750-7,270,210
750,8,750-8,300,240
750,9,750-9,330,270
750,10,750-10,360,300
800,1,800-1,90,30
800,2,800-2,120,60
800,3,800-3,150,90
800,4,800-4,180,120
800,5,800-5,210,150
800,6,800-6,240,180
800,7,800-7,270,210
800,8,800-8,300,240
800,9,800-9,330,270
800,10,800-10,360,300
